unique_identifier,location_name,address_line1,address_line2,address_line3,address_city,address_county,address_post_code,country,ladnm,lsoa21,lsoa21nm,defibrillators_availability,defibrillators_access_type,lat,long,county
EFAA1165-4D99-4139-950B-B02900E1B884,,Our Ladys Roman Catholic Primary School,Holly Road,,Aspull,Wigan,WN2 1RU,England,Wigan,E01006235,Wigan 004D,Varied Access,Public,53.5702429,-2.5879316,Greater Manchester
9C80C396-DFA8-4DB0-BA57-AE3800ABF090,Matt Stott Sports Therapy And Massage,"28 Windsor Crescent, Aspull",Aspull,Wigan,Aspull,Wigan,WN2 1XE,England,Wigan,E01006234,Wigan 004C,Varied Access,Restricted,53.56845093,-2.581520081,Greater Manchester
9FF5364C-ECB8-488E-9A4E-AE27011E5035,Walkers Lower Farm,Off Scot Lane,Aspull,Wigan,Aspull,Wigan,WN2 1YL,England,Wigan,E01006236,Wigan 007A,24/7 Access,Public,53.57002,-2.5757,Greater Manchester
8A129C7E-7CCC-4649-B50B-B07100E7ADDF,,The Royal British Legion,Sumner Street,,Aspull,Wigan,WN2 1YT,England,Wigan,E01006234,Wigan 004C,Varied Access,Restricted,53.5711867,-2.5805907,Greater Manchester
3C98652F-DCAA-4934-9402-B116010694B3,,St Williams Catholic Club,Patricroft Road,,Ince,Wigan,WN2 2DF,England,Wigan,E01006308,Wigan 012B,24/7 Access,Public,53.5401,-2.60764,Greater Manchester
6B2F11F2-F7DF-46C7-B847-B38D00F4DE9B,,St Williams Catholic Primary School,Ince Green Lane,,Ince,Wigan,WN2 2DG,England,Wigan,E01006308,Wigan 012B,Varied Access,Public,53.54135507,-2.60636532,Greater Manchester
5E3A3972-9CFB-40C1-A658-AE37010F29A5,Education,St Williams Primary School,High Ince,Ince,Ince,Wigan,WN2 2DG,England,Wigan,E01006308,Wigan 012B,Varied Access,Public,53.54103088,-2.608411074,Greater Manchester
F3A63909-4DC2-4533-9FF1-B0BA00EDF725,Ince Community Centre,Ince Clinic And Community Centre,Manchester Road,,Ince,Wigan,WN2 2DJ,England,Wigan,E01006308,Wigan 012B,24/7 Access,Public,53.5433774,-2.6040071,Greater Manchester
F6B3C52E-214B-4A91-AEA8-AEF900A84D3D,Hindley Railway Station,Hindley Railway Station,Ladies Lane,Wigan,Hindley,Wigan,WN2 2QJ,England,Wigan,E01006272,Wigan 013C,24/7 Access,Public,53.5417443,-2.5780292,Greater Manchester
851F7AF3-0972-4102-BFA4-AF4600EAF9BD,The Market Tavern,62 Market Street,,,Hindley,Wigan,WN2 3AN,England,Wigan,E01006272,Wigan 013C,24/7 Access,Public,53.53601,-2.57757,Greater Manchester
49DF905C-8810-4938-A9C2-AE35011911AB,Tesco Extra,Tesco Extra,Cross Street,,Hindley,Wigan,WN2 3AT,England,Wigan,E01006272,Wigan 013C,Varied Access,Restricted,53.5363543,-2.5792231,Greater Manchester
